system:time_start,tmean
"Jan 1, 2010",-2.948
"Jan 2, 2010",-1.956
"Jan 3, 2010",-2.648
"Jan 4, 2010",-1.409
"Jan 5, 2010",1.99
"Jan 6, 2010",0.99
"Jan 7, 2010",-2.874
"Jan 8, 2010",-2.066
"Jan 9, 2010",1.7
"Jan 10, 2010",2.128
"Jan 11, 2010",1.802
"Jan 12, 2010",2.111
"Jan 13, 2010",1.471
"Jan 14, 2010",-2.658
"Jan 15, 2010",0.874
"Jan 16, 2010",2.998
"Jan 17, 2010",0.283
"Jan 18, 2010",-3.803
"Jan 19, 2010",-3.694
"Jan 20, 2010",-5.679
"Jan 21, 2010",-2.992
"Jan 22, 2010",-5.345
"Jan 23, 2010",-7.492
"Jan 24, 2010",-7.852
"Jan 25, 2010",-4.323
"Jan 26, 2010",-0.725
"Jan 27, 2010",0.156
"Jan 28, 2010",-2.86
"Jan 29, 2010",-2.314
"Jan 30, 2010",-0.49
"Jan 31, 2010",-3.953
"Feb 1, 2010",-3.629
"Feb 2, 2010",-1.802
"Feb 3, 2010",-2.441
"Feb 4, 2010",-2.615
"Feb 5, 2010",-1.995
"Feb 6, 2010",0.511
"Feb 7, 2010",-4.159
"Feb 8, 2010",-4.613
"Feb 9, 2010",-4.115
"Feb 10, 2010",-4.948
"Feb 11, 2010",-5.581
"Feb 12, 2010",-2.556
"Feb 13, 2010",-0.645
"Feb 14, 2010",-2.933
"Feb 15, 2010",-1.717
"Feb 16, 2010",-1.503
"Feb 17, 2010",-0.776
"Feb 18, 2010",-0.171
"Feb 19, 2010",-1.504
"Feb 20, 2010",-2.36
"Feb 21, 2010",-4.284
"Feb 22, 2010",-8.978
"Feb 23, 2010",-8.376
"Feb 24, 2010",-3.616
"Feb 25, 2010",-4.122
"Feb 26, 2010",-3.324
"Feb 27, 2010",0.071
"Feb 28, 2010",-1.595
"Mar 1, 2010",-0.892
"Mar 2, 2010",0.433
"Mar 3, 2010",1.875
"Mar 4, 2010",-0.575
"Mar 5, 2010",-3.034
"Mar 6, 2010",0.459
"Mar 7, 2010",-0.245
"Mar 8, 2010",-3.725
"Mar 9, 2010",-4.604
"Mar 10, 2010",-6.169
"Mar 11, 2010",-3.769
