Day,WY,month,discharge_cfps,month_day,year,date,wy_date,E_day,r_day,discharge_cmps,station
5,1998,JUL,0.08,JUL-5,1998,1998-07-05,1998-07-05,NA,NA,0.0022653477273599995,Lukachai Creek
5,1998,AUG,0.14,AUG-5,1998,1998-08-05,1998-08-05,E,NA,0.003964358522879999,Lukachai Creek
5,1998,SEP,0,SEP-5,1998,1998-09-05,1998-09-05,NA,NA,0,Lukachai Creek
6,1998,OCT,0,OCT-6,1997,1997-10-06,1998-10-06,NA,NA,0,Lukachai Creek
6,1998,NOV,0,NOV-6,1997,1997-11-06,1998-11-06,NA,NA,0,Lukachai Creek
6,1998,DEC,0.01,DEC-6,1997,1997-12-06,1998-12-06,NA,NA,2.8316846591999994e-4,Lukachai Creek
6,1998,JAN,0.01,JAN-6,1998,1998-01-06,1998-01-06,NA,NA,2.8316846591999994e-4,Lukachai Creek
6,1998,FEB,0,FEB-6,1998,1998-02-06,1998-02-06,NA,NA,0,Lukachai Creek
6,1998,MAR,0,MAR-6,1998,1998-03-06,1998-03-06,NA,NA,0,Lukachai Creek
6,1998,APR,0.03,APR-6,1998,1998-04-06,1998-04-06,NA,NA,8.495053977599998e-4,Lukachai Creek
6,1998,MAY,50,MAY-6,1998,1998-05-06,1998-05-06,E,NA,1.4158423295999996,Lukachai Creek
6,1998,JUN,0.07,JUN-6,1998,1998-06-06,1998-06-06,NA,NA,0.0019821792614399996,Lukachai Creek
6,1998,JUL,0.08,JUL-6,1998,1998-07-06,1998-07-06,NA,NA,0.0022653477273599995,Lukachai Creek
6,1998,AUG,0.14,AUG-6,1998,1998-08-06,1998-08-06,E,NA,0.003964358522879999,Lukachai Creek
6,1998,SEP,0,SEP-6,1998,1998-09-06,1998-09-06,NA,NA,0,Lukachai Creek
7,1998,OCT,0.11,OCT-7,1997,1997-10-07,1998-10-07,NA,NA,0.0031148531251199993,Lukachai Creek
7,1998,NOV,0,NOV-7,1997,1997-11-07,1998-11-07,NA,NA,0,Lukachai Creek
7,1998,DEC,0.02,DEC-7,1997,1997-12-07,1998-12-07,NA,NA,5.663369318399999e-4,Lukachai Creek
7,1998,JAN,0,JAN-7,1998,1998-01-07,1998-01-07,NA,NA,0,Lukachai Creek
7,1998,FEB,0,FEB-7,1998,1998-02-07,1998-02-07,NA,NA,0,Lukachai Creek
7,1998,MAR,0,MAR-7,1998,1998-03-07,1998-03-07,NA,NA,0,Lukachai Creek
7,1998,APR,0.02,APR-7,1998,1998-04-07,1998-04-07,NA,NA,5.663369318399999e-4,Lukachai Creek
7,1998,MAY,40,MAY-7,1998,1998-05-07,1998-05-07,E,NA,1.1326738636799996,Lukachai Creek
7,1998,JUN,0.08,JUN-7,1998,1998-06-07,1998-06-07,NA,NA,0.0022653477273599995,Lukachai Creek
7,1998,JUL,0.66,JUL-7,1998,1998-07-07,1998-07-07,NA,NA,0.018689118750719994,Lukachai Creek
7,1998,AUG,0.12,AUG-7,1998,1998-08-07,1998-08-07,E,NA,0.0033980215910399993,Lukachai Creek
7,1998,SEP,0,SEP-7,1998,1998-09-07,1998-09-07,NA,NA,0,Lukachai Creek
8,1998,OCT,0,OCT-8,1997,1997-10-08,1998-10-08,NA,NA,0,Lukachai Creek
8,1998,NOV,0,NOV-8,1997,1997-11-08,1998-11-08,NA,NA,0,Lukachai Creek
8,1998,DEC,0.06,DEC-8,1997,1997-12-08,1998-12-08,NA,NA,0.0016990107955199996,Lukachai Creek
8,1998,JAN,0,JAN-8,1998,1998-01-08,1998-01-08,NA,NA,0,Lukachai Creek
8,1998,FEB,0,FEB-8,1998,1998-02-08,1998-02-08,NA,NA,0,Lukachai Creek
8,1998,MAR,6.7,MAR-8,1998,1998-03-08,1998-03-08,E,NA,0.18972287216639996,Lukachai Creek
8,1998,APR,0.05,APR-8,1998,1998-04-08,1998-04-08,NA,NA,0.0014158423296,Lukachai Creek
8,1998,MAY,29,MAY-8,1998,1998-05-08,1998-05-08,NA,NA,0.8211885511679998,Lukachai Creek
8,1998,JUN,0.08,JUN-8,1998,1998-06-08,1998-06-08,NA,NA,0.0022653477273599995,Lukachai Creek
8,1998,JUL,0.05,JUL-8,1998,1998-07-08,1998-07-08,NA,NA,0.0014158423296,Lukachai Creek
8,1998,AUG,0.14,AUG-8,1998,1998-08-08,1998-08-08,E,NA,0.003964358522879999,Lukachai Creek
